onset	duration	stim	cond	resp	acc	RT
270.23	0.568	OUTFIELD	lure	n/a	1	n/a
270.814	0.406	THEORY	lure	n/a	1	n/a
271.23	0.529	SHERRY	lure	n/a	1	n/a
271.764	0.425	DAME	lure	n/a	1	n/a
272.197	0.386	ASPECT	lure	n/a	1	n/a
272.597	0.319	LUNGPOWER	lure	n/a	1	n/a
272.93	0.587	CRUSADER	lure	n/a	1	n/a
273.53	0.454	HIGHLAND	lure	n/a	1	n/a
273.997	0.501	BETTERMENT	lure	n/a	1	n/a
274.513	1.004	NECTARINE	fruit	detect	1	741
275.53	0.626	OVERSIGHT	lure	n/a	1	n/a
276.163	0.717	DIVIDEND	lure	n/a	1	n/a
276.897	0.448	TRUTH	lure	n/a	1	n/a
277.363	0.667	CLAPPER	lure	n/a	1	n/a
278.047	0.456	SAXOPHONE	lure	n/a	1	n/a
278.58	0.566	INEQUALITY	lure	n/a	1	n/a
279.163	0.652	CACHET	lure	n/a	1	n/a
279.83	0.701	CAVEMEN	lure	n/a	1	n/a
280.547	0.459	HABIT	lure	n/a	1	n/a
281.013	0.649	STAIRWELL	lure	n/a	1	n/a
281.68	0.367	BOREDOM	lure	n/a	1	n/a
282.063	0.532	MUSCLEMAN	lure	n/a	1	n/a
282.613	0.705	BURNSIDE	lure	n/a	1	n/a
283.33	0.655	STREAMSIDE	lure	n/a	1	n/a
283.997	0.501	LIQUEUR	lure	n/a	1	n/a
284.513	0.601	BOLT	short	n/a	1	n/a
285.13	0.556	SLAB	lure	n/a	1	n/a
285.697	0.564	COLA	lure	n/a	1	n/a
286.263	0.714	RAINSTORM	lure	n/a	1	n/a
286.98	0.672	FINALE	lure	n/a	1	n/a
287.664	0.693	THRESHOLD	lure	n/a	1	n/a
288.363	0.306	GRAMMAR	lure	n/a	1	n/a
288.68	0.521	FLATTERY	lure	n/a	1	n/a
289.213	0.735	FOOLERY	lure	n/a	1	n/a
289.963	0.678	CORDIALITY	lure	n/a	1	n/a
290.73	0.481	HAY	lure	n/a	1	n/a
291.23	0.754	DROUGHT	lure	n/a	1	n/a
291.997	0.501	BADMINTON	lure	n/a	1	n/a
292.513	0.601	CLOAK	short	n/a	1	n/a
293.13	0.632	WILLPOWER	lure	n/a	1	n/a
293.78	0.699	VIBRANCY	lure	n/a	1	n/a
294.497	0.374	HELM	lure	n/a	1	n/a
294.88	0.394	FLUTE	lure	n/a	1	n/a
295.28	0.531	HANDGUN	lure	n/a	1	n/a
295.83	0.381	SEAWAY	lure	n/a	1	n/a
296.213	0.649	FOREFINGER	lure	n/a	1	n/a
296.88	0.564	HAIRBRUSH	lure	n/a	1	n/a
297.447	0.574	OPERATION	lure	n/a	1	n/a
298.03	0.685	COMPILER	lure	n/a	1	n/a
298.73	0.589	CORRIDOR	lure	n/a	1	n/a
299.33	0.749	CRIME	lure	n/a	1	n/a
300.096	0.595	BUOYANCY	lure	n/a	1	n/a
300.696	0.372	BISCUIT	lure	n/a	1	n/a
301.08	0.424	BEARER	lure	n/a	1	n/a
301.513	0.471	VIDEOTAPE	lure	n/a	1	n/a
302.067	0.502	STAIR	lure	n/a	1	n/a
302.58	1.004	NECTARINE	fruit	detect	1	691
303.596	0.66	CHATTERBOX	lure	n/a	1	n/a
304.267	0.736	ARMHOLE	lure	n/a	1	n/a
305.013	0.454	RAILROAD	lure	n/a	1	n/a
305.48	0.363	TURBULENCE	lure	n/a	1	n/a
